,CPI,CPI_YoY
1984-08-01,104.4,4.295704295704317
1984-09-01,104.7,4.2828685258964105
1984-10-01,105.1,4.265873015873023
1984-11-01,105.3,4.154302670623156
1984-12-01,105.5,4.043392504930954
1985-01-01,105.7,3.52595494613126
1985-02-01,106.3,3.6062378167641462
1985-03-01,106.8,3.790087463556846
1985-04-01,107.0,3.581800580832528
1985-05-01,107.2,3.5748792270531515
1985-06-01,107.5,3.6644165863066513
1985-07-01,107.7,3.458213256484166
1985-08-01,107.9,3.3524904214559337
1985-09-01,108.1,3.2473734479465
1985-10-01,108.5,3.2350142721217834
1985-11-01,109.0,3.5137701804368593
1985-12-01,109.5,3.791469194312791
1986-01-01,109.9,3.9735099337748325
1986-02-01,109.7,3.19849482596426
1986-03-01,109.1,2.1535580524344455
1986-04-01,108.7,1.5887850467289688
1986-05-01,109.0,1.679104477611948
1986-06-01,109.4,1.7674418604651132
1986-07-01,109.5,1.671309192200554
1986-08-01,109.6,1.575532900834098
1986-09-01,110.0,1.757631822386685
1986-10-01,110.2,1.5668202764977046
1986-11-01,110.4,1.2844036697247763
1986-12-01,110.8,1.187214611872145
1987-01-01,111.4,1.364877161055511
1987-02-01,111.8,1.9143117593436676
1987-03-01,112.2,2.8414298808432603
1987-04-01,112.7,3.679852805887762
1987-05-01,113.0,3.669724770642202
1987-06-01,113.5,3.7477148080438782
1987-07-01,113.8,3.926940639269394
1987-08-01,114.3,4.2883211678832245
1987-09-01,114.7,4.2727272727272725
1987-10-01,115.0,4.355716878402904
1987-11-01,115.4,4.528985507246386
1987-12-01,115.6,4.332129963898912
1988-01-01,116.0,4.129263913824044
1988-02-01,116.2,3.9355992844364973
1988-03-01,116.5,3.832442067736186
1988-04-01,117.2,3.9929015084294583
1988-05-01,117.5,3.9823008849557473
1988-06-01,118.0,3.96475770925111
1988-07-01,118.5,4.130052724077338
1988-08-01,119.0,4.111986001749779
1988-09-01,119.5,4.184829991281602
1988-10-01,119.9,4.260869565217407
1988-11-01,120.3,4.246100519930662
1988-12-01,120.7,4.4117647058823595
1989-01-01,121.2,4.482758620689653
1989-02-01,121.6,4.647160068846801
1989-03-01,122.2,4.892703862660941
1989-04-01,123.1,5.034129692832767
1989-05-01,123.7,5.276595744680845
1989-06-01,124.1,5.1694915254237195
1989-07-01,124.5,5.063291139240511
1989-08-01,124.5,4.621848739495804
1989-09-01,124.8,4.435146443514637
1989-10-01,125.4,4.587155963302747
1989-11-01,125.9,4.655029093931851
1989-12-01,126.3,4.639602319801162
1990-01-01,127.5,5.198019801980203
1990-02-01,128.0,5.263157894736836
1990-03-01,128.6,5.237315875613735
1990-04-01,128.9,4.711616571892785
1990-05-01,129.1,4.365400161681476
1990-06-01,129.9,4.673650282030639
1990-07-01,130.5,4.819277108433728
1990-08-01,131.6,5.702811244979911
1990-09-01,132.5,6.169871794871806
1990-10-01,133.4,6.379585326953752
1990-11-01,133.7,6.195393169181873
1990-12-01,134.2,6.254948535233562
1991-01-01,134.7,5.647058823529405
1991-02-01,134.8,5.312500000000009
1991-03-01,134.8,4.821150855365497
1991-04-01,135.1,4.809930178432875
1991-05-01,135.6,5.034856700232382
1991-06-01,136.0,4.695919938414161
1991-07-01,136.2,4.367816091954024
1991-08-01,136.6,3.7993920972644313
1991-09-01,137.0,3.396226415094339
1991-10-01,137.2,2.8485757121439192
1991-11-01,137.8,3.0665669409125185
1991-12-01,138.2,2.980625931445613
1992-01-01,138.3,2.672605790645899
1992-02-01,138.6,2.8189910979228294
1992-03-01,139.1,3.189910979228472
1992-04-01,139.4,3.1828275351591495
1992-05-01,139.7,3.0235988200590036
1992-06-01,140.1,3.0147058823529305
1992-07-01,140.5,3.1571218795888534
1992-08-01,140.8,3.0746705710102518
1992-09-01,141.1,2.9927007299270114
1992-10-01,141.7,3.279883381924198
1992-11-01,142.1,3.1204644412191396
1992-12-01,142.3,2.966714905933454
1993-01-01,142.8,3.2537960954446943
1993-02-01,143.1,3.2467532467532534
1993-03-01,143.3,3.0194104960460155
1993-04-01,143.8,3.1563845050215145
1993-05-01,144.2,3.2211882605583497
1993-06-01,144.3,2.9978586723768963
1993-07-01,144.5,2.8469750889679624
1993-08-01,144.8,2.840909090909083
1993-09-01,145.0,2.7639971651311157
1993-10-01,145.6,2.752293577981657
1993-11-01,146.0,2.7445460942997935
1993-12-01,146.3,2.8109627547435068
1994-01-01,146.3,2.450980392156854
1994-02-01,146.7,2.515723270440251
1994-03-01,147.1,2.6517794836008246
1994-04-01,147.2,2.364394993045882
1994-05-01,147.5,2.288488210818307
1994-06-01,147.9,2.494802494802495
1994-07-01,148.4,2.69896193771626
1994-08-01,149.0,2.900552486187835
1994-09-01,149.3,2.965517241379323
1994-10-01,149.4,2.609890109890123
1994-11-01,149.8,2.602739726027403
1994-12-01,150.1,2.597402597402576
1995-01-01,150.5,2.8708133971291794
1995-02-01,150.9,2.862985685071595
1995-03-01,151.2,2.7872195785180187
